"FullName","Name","Length","CreationTime","LastWriteTime","LastAccessTime","Attributes","Owner"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info","openpyxl-3.1.5.dist-info",,"7/5/2025 6:48:38 PM","7/5/2025 6:48:43 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging","packaging",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info","packaging-25.0.dist-info",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas","pandas",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:06 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas-2.3.0.dist-info","pandas-2.3.0.dist-info",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:48 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas.libs","pandas.libs",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:06 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\PIL","PIL",,"7/5/2025 6:23:27 PM","7/5/2025 6:23:28 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pillow-11.3.0.dist-info","pillow-11.3.0.dist-info",,"7/5/2025 6:23:28 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pip","pip",,"7/5/2025 6:22:27 PM","7/5/2025 6:22:27 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pip-25.1.1.dist-info","pip-25.1.1.dist-info",,"7/5/2025 6:22:27 PM","7/5/2025 6:22:35 PM","7/9/2025 11:55:39 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pkg_resources","pkg_resources",,"7/5/2025 6:22:53 PM","7/5/2025 6:22:53 PM","7/9/2025 11:55:39 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\protobuf-6.31.1.dist-info","protobuf-6.31.1.dist-info",,"7/5/2025 6:23:25 PM","7/5/2025 6:23:27 PM","7/9/2025 11:55:39 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pyarrow","pyarrow",,"7/5/2025 6:23:20 PM","7/5/2025 6:23:22 PM","7/9/2025 11:55:39 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pyarrow-20.0.0.dist-info","pyarrow-20.0.0.dist-info",,"7/5/2025 6:23:22 PM","7/5/2025 6:23:25 PM","7/9/2025 11:55:40 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pyarrow.libs","pyarrow.libs",,"7/5/2025 6:23:22 PM","7/5/2025 6:23:22 PM","7/9/2025 11:55:40 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pydeck","pydeck",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:40 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pydeck-0.9.1.dist-info","pydeck-0.9.1.dist-info",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:03 PM","7/9/2025 11:55:40 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\python_dateutil-2.9.0.post0.dist-info","python_dateutil-2.9.0.post0.dist-info",,"7/5/2025 6:23:58 PM","7/5/2025 6:23:59 PM","7/9/2025 11:55:40 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pytz","pytz",,"7/5/2025 6:23:14 PM","7/5/2025 6:23:14 PM","7/9/2025 11:55:40 PM","Directory","BUILTIN\Administrators"
